Yıl,variable,value
2021,Hakkari,267
2021,Ardahan,377
2021,Bayburt,871
2021,Şırnak,1375
2021,Gümüşhane,1427
2021,Tunceli,1475
2021,Artvin,1758
2021,Iğdır,1837
2021,Çankırı,2556
2021,Bartın,2644
2021,Muş,2691
2021,Ağrı,2760
2021,Bitlis,2769
2021,Karaman,3091
2021,Kars,3215
2021,Sinop,3257
2021,Kilis,3349
2021,Burdur,3494
2021,Erzincan,3500
2021,Siirt,3547
2021,Bilecik,3707
2021,Bingöl,3735
2021,Karabük,3762
2021,Nevşehir,3810
2021,Rize,3948
2021,Kırşehir,4349
2021,Amasya,4965
2021,Yozgat,5554
2021,Uşak,5709
2021,Batman,6102
2021,Kırıkkale,6155
2021,Kastamonu,6264
2021,Zonguldak,6266
2021,Tokat,6762
2021,Osmaniye,6877
2021,Niğde,6880
2021,Aksaray,7123
2021,Isparta,7195
2021,Giresun,7208
2021,Van,7243
2021,Edirne,7368
2021,Kırklareli,7587
2021,Bolu,7596
2021,Düzce,7836
2021,Kütahya,8004
2021,Çorum,8648
2021,Sivas,8796
2021,Mardin,8850
2021,Adıyaman,9337
2021,Erzurum,10014
2021,Afyonkarahisar,10265
2021,Ordu,11025
2021,Elazığ,11424
2021,Trabzon,11726
2021,Çanakkale,12236
2021,Malatya,13093
2021,Yalova,13844
2021,Kahramanmaraş,15372
2021,Denizli,17102
2021,Diyarbakır,20098
2021,Eskişehir,21691
2021,Hatay,22875
2021,Muğla,23099
2021,Manisa,23479
2021,Sakarya,23924
2021,Samsun,25268
2021,Şanlıurfa,27737
2021,Adana,28287
2021,Kayseri,31989
2021,Aydın,34040
2021,Balıkesir,34341
2021,Gaziantep,35610
2021,Tekirdağ,35694
2021,Kocaeli,36520
2021,Konya,38114
2021,Mersin,41533
2021,Bursa,53820
2021,Antalya,66691
