Yıl,Ay,Toplam Satış Adedi,İpotekli Satışlar,Diğer Satışlar,İlk Satışlar,İkinci El Satışlar,Yabancılara Yapılan Satışlar,Dönem
2013,Ocak - January,87444,36581,50863,39163,48281,888,2013-01-01
2013,Şubat - February,88519,37150,51369,39521,48998,716,2013-02-01
2013,Mart - March,97956,41809,56147,43052,54904,962,2013-03-01
2013,Nisan - April,95381,40812,54569,41233,54148,947,2013-04-01
2013,Mayıs - May,103261,45270,57991,46049,57212,938,2013-05-01
2013,Haziran - June,96424,43763,52661,43345,53079,783,2013-06-01
2013,Temmuz - July,106636,46053,60583,49224,57412,1114,2013-07-01
2013,Ağustos - August,84480,31559,52921,38817,45663,890,2013-08-01
2013,Eylül - September,102280,37835,64445,46778,55502,1025,2013-09-01
2013,Ekim - October,76344,26337,50007,35363,40981,1021,2013-10-01
2013,Kasım - November,102681,36600,66081,48255,54426,1456,2013-11-01
2013,Aralık - December,115784,36343,79441,58329,57455,1441,2013-12-01
2014,Ocak - January,87639,32046,55593,40155,47484,1207,2014-01-01
2014,Şubat - February,82597,24059,58538,38074,44523,1071,2014-02-01
2014,Mart - March,87617,24465,63152,41983,45634,1362,2014-03-01
2014,Nisan - April,83610,23447,60163,37555,46055,1554,2014-04-01
2014,Mayıs - May,90377,29760,60617,41456,48921,1610,2014-05-01
2014,Haziran - June,92936,32029,60907,42620,50316,1703,2014-06-01
2014,Temmuz - July,85101,30912,54189,39373,45728,1473,2014-07-01
2014,Ağustos - August,105624,35338,70286,48828,56796,1774,2014-08-01
2014,Eylül - September,115786,43144,72642,53039,62747,1857,2014-09-01
2014,Ekim - October,95645,34451,61194,44499,51146,1806,2014-10-01
2014,Kasım - November,103783,36925,66858,48128,55655,1687,2014-11-01
2014,Aralık - December,134666,43113,91553,65844,68822,1855,2014-12-01
2015,Ocak - January,86167,33178,52989,37971,48196,1289,2015-01-01
2015,Şubat - February,95021,36952,58069,40662,54359,1369,2015-02-01
2015,Mart - March,116030,45315,70715,51487,64543,1610,2015-03-01
2015,Nisan - April,119317,46063,73254,52598,66719,1847,2015-04-01
2015,Mayıs - May,107888,40086,67802,49001,58887,1982,2015-05-01
2015,Haziran - June,110657,40503,70154,51202,59455,2256,2015-06-01
2015,Temmuz - July,96589,30754,65835,43623,52966,2027,2015-07-01
2015,Ağustos - August,112463,36021,76442,53218,59245,2044,2015-08-01
